subcategory,action,category,subcategory_remap,notes
flower essences & remedies,REMOVE,,,Non-supplement category
fluid administration & collection,REMOVE,,,Non-supplement category
freestanding slides,REMOVE,,,Non-supplement category
fruit juice,REMOVE,,,Non-supplement category
garlic herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
garlic spice,REMOVE,,,Non-supplement category
gas relief,REMAP,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,Maps to DIGESTIVE AIDS & ENZYMES / DIGESTIVE AIDS & ENZYMES
gauze,REMOVE,,,Non-supplement category
ginger spice,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
ginkgo biloba herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
ginseng herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
glandular extracts,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
grape seed extract herbal supplements,REMAP,HERBAL REMEDIES,POLYPHENOLS,Maps to HERBAL REMEDIES / POLYPHENOLS
green tea herbal supplements,REMAP,HERBAL REMEDIES,POLYPHENOLS,Maps to HERBAL REMEDIES / POLYPHENOLS
gummy candy,REMOVE,,,Non-supplement category
hair coloring & highlighting tools,REMOVE,,,Non-supplement category
hair cutting tools,REMOVE,,,Non-supplement category
"hair gels, pomade & waxes",REMOVE,,,Non-supplement category
hair loss & regrowth products,REMOVE,,,Non-supplement category
hair masks,REMOVE,,,Non-supplement category
hair mousse & foams,REMOVE,,,Non-supplement category
hair oils & serums,REMOVE,,,Non-supplement category
hair skin & nails complex,REMAP,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,Maps to MISCELLANEOUS SUPPLEMENTS / MISCELLANEOUS SUPPLEMENTS
hair styling creams & sprays,REMOVE,,,Non-supplement category
hair styling foams,REMOVE,,,Non-supplement category
hair styling gels,REMOVE,,,Non-supplement category
hair styling products,REMOVE,,,Non-supplement category
hair styling sprays,REMOVE,,,Non-supplement category
"hair, skin & nails supplements",REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
hairspray,REMOVE,,,Non-supplement category
healing ointments & balms,REMOVE,,,Non-supplement category
health & wellness test kits,REMOVE,,,Non-supplement category
heat patches & wraps,REMOVE,,,Non-supplement category
heating pads,REMOVE,,,Non-supplement category
hemorrhoid pain relief products,REMOVE,,,Non-supplement category
hemp gummies,REMAP,OIL CATEGORY,HEMP/CBD,Maps to OIL CATEGORY / HEMP/CBD
hemp oils & creams,REMOVE,,,Non-supplement category
hemp seeds,REMOVE,,,Non-supplement category
hemp therapy products,REMOVE,,,Non-supplement category
herbal tea,REMOVE,,,Non-supplement category
hiking emergency blankets,REMOVE,,,Non-supplement category
hiking emergency fire starters,REMOVE,,,Non-supplement category
hiking emergency light sticks,REMOVE,,,Non-supplement category
hiking hydration & filtration,REMOVE,,,Non-supplement category
hiking whistles,REMOVE,,,Non-supplement category
home test,REMOVE,,,Non-supplement category
home test kits & supplies,REMOVE,,,Non-supplement category
horse wound care,REMOVE,,,Non-supplement category
infection prevention supplies,REMOVE,,,Non-supplement category
inflatable bouncers,REMOVE,,,Non-supplement category
