asin,title,brand,amazon_subcategory,lookup_action,filter_reason,matched_keyword
B0CYLXL8LJ,"howlite - 1/2lb tumbler stones, bulk crystals, crystal sets for healing, tumble gemstone, polished rocks, pack of crystals rocks, healing gifts, crystal set",pyor,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CYLY488F,"pyor citrine crystal - 1/2lb tumble gemstones and crystals, crystals decor, citrine stone, thoughtful gifts, crystals decor, citrine stone, energy healing, meditation tools",pyor,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CYLZ8CDB,"yellow aventurine - 1/2lb crystals bulk, meditation crystals and healing stones, reiki gifts, crystals for crafts, feng shui decor, gemstones, yellow aventurine tumble stone, wiccan supplies and tools",pyor,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CZDRXD2W,"mythotecq 1500 mg detox and liver cleanse, full body cleanser detox 60 caps",mythotecq,weight loss detox & cleanse,REMAP,Contains non-supplement keyword: 'cleanser',cleanser
B0D24VT88X,"ad beads handmade gemstone stretch elastic bracelet crystal healing reiki nature's beauty and spiritual essence unisex (10mm, indian agate)",ad beads,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D41JNBBF,"natural raw rough gemstone, healing chakra stones, wholesale bulk, birthstone, energy diy craft stone, raw crystals, loose gemstone wire wrapping, jewelry making supply 50 carat lot (blue sapphire)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0D41JTMGZ,"natural raw blue sapphire rough gemstone, healing chakra stones, wholesale bulk, birthstone, energy diy craft stone, loose gemstone wire wrapping, jewelry making 100 carat lot (blue sapphire)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0D5BMJY3N,sunnyclue 1 box 150pcs blue howlite turquoise beads turquoise bead animal butterfly shaped synthetic healing energy gemstone loose bead strands for jewelry making bracelet earrings diy craft women,sunnyclue,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0D5CBP8C2,dlaekua autism mom gifts autism awareness bracelet for women autism awareness gift for mom autism jewelry mom christmas birthday gifts from daughter mom autistic gifts inspirational gifts for mom,dlaekua,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0D6GMXJKK,"natural amazonite chips crystal earring, yoga jewelry, meditation crystals earring, raw gemstone, energy healing crystals, birthday, gift for her, gemstone jewelry, mother's day gifts (amazonite)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0D73VFXXL,"natural aquamarine oval cabochon necklace, gift for her, birthstone jewelry, 18 inch gold plated adjustable chain, valentine day gift (aquamarine)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0D792NV3N,"natural amazonite gemstone round beads bolo bracelet, chakra healing crystals, 14k gold plated, adjustable slider, birthday, wedding, handmade, 6-9 inch, valentine day gift (amazonite)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D795GVW5,"natural citrine gemstone round beads bolo bracelet, chakra healing crystals, 14k gold plated, adjustable slider, birthday, wedding, handmade, 6-9 inch, valentine day gift (citrine)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D795QNV1,"natural clear quartz gemstone round beads bolo bracelet, chakra healing, 14k gold plated, adjustable slider, birthday, wedding, handmade, 6-9 inch, valentine day gift (clear quartz)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D8BQKBYC,"black tourmaline gemstone tree with rough stones, crystals and healing stones, home decor, tourmaline stones, raw reiki stones and crystal, meditation decor, crystal tree, spiritual gift for women",yatskia,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D8FQ8G74,"natural peach amazonite pear cabochon necklace, gemstone healing crystals, gift for her, birthstone, 18 inch gold plated adjustable chain, valentine day gift (peach amazonite)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D8HYHK7M,"natural pink scolecite oval cabochon necklace, gemstone healing crystals, gift for her, birthstone, 18 inch gold plated adjustable chain, valentine day gift (pink scolecite)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D8HYS83Y,"natural montana moss agate oval cabochon necklace, gemstone healing crystals, gift for her, birthstone, 18 inch gold plated adjustable chain, valentine day gift (montana moss agate)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D8VWHP7C,amoystone 2 stone puppy animals sculpture natural purple fluorite crystal small dog figurines handmade carved gemstone purple crystal puppy statue ornaments home decorations,amoystone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D953XNFF,"votum gummy bear mini backpack with stationery set - includes mini notebook, gel pen, eraser, stickers - gift for tweens ages 8+ - portable, cute, and fun party favor",votum,elderberry herbal supplements,REMAP,Contains non-supplement keyword: 'book',book
B0D9CHMG2T,bicbugs orca agate polished free form black white crytocrystalline quartz gemstone mineral rock madagascar,bicbugs,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D9J56S2J,"tgh natural clear quartz beads bracelet micro faceted 3-3.5 beads gemstones jewelry for her, birthstone, gold plated chain 8 inch, valentine day gift (clear quartz)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
