keyword,ingredient,nw_category,nw_subcategory,old_nw_category,old_nw_subcategory,change_source,change_notes
biotin,biotin,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
bitter melon,Bitter Melon,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
black berry,Blackberry,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
black cohosh,Black Cohosh,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
black cumin seed,Black Seed,FATTY ACIDS,SEED,OIL CATEGORY,SEED OILS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/SEED OILS' → NEW taxonomy: 'FATTY ACIDS/SEED'
black currant,Black Currant,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
black currant oil,Black Currant Oil,FATTY ACIDS,ALL OTHER OILS,OIL CATEGORY,ALL OTHER OIL,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/ALL OTHER OIL' → NEW taxonomy: 'FATTY ACIDS/ALL OTHER OILS'
black currant seed oil,Black Currant Oil,FATTY ACIDS,ALL OTHER OILS,OIL CATEGORY,ALL OTHER OIL,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/ALL OTHER OIL' → NEW taxonomy: 'FATTY ACIDS/ALL OTHER OILS'
black pepper,Bioperine,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
black seed,Black Seed,FATTY ACIDS,SEED,OIL CATEGORY,SEED OILS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/SEED OILS' → NEW taxonomy: 'FATTY ACIDS/SEED'
black walnut,Black Walnut,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
blackberry,Blackberry,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bladderwrack,bladderwrack,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
blessed thistle,Blessed Thistle,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
blood root,Bloodroot,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bloodroot,Bloodroot,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
blue cohosh,Blue Cohosh,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
blueberry concentrate,Blueberry Extract,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
blueberry extract,Blueberry Extract,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
blueberry leaf,Blueberry Extract,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
boldo,Boldo,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bone meal,Bone Meal,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
boneset,Boneset,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
borage,Borage,FATTY ACIDS,ALL OTHER OILS,OIL CATEGORY,ALL OTHER OIL,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/ALL OTHER OIL' → NEW taxonomy: 'FATTY ACIDS/ALL OTHER OILS'
boron,Boron,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
boswellia,Boswellia,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
boswellin,Boswellia,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bovine cartilage,Bovine Cartilage,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
bovine liver,Liver Extract,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
bovine tracheal cartilage,Bovine Cartilage,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
branched chain amino acids,BCAA,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
brewer s yeast,Yeast Brewers,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
brewer's yeast,Yeast Brewers,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
brewers yeast,Yeast Brewers,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
broccoli,Broccoli,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
broccomax,Broccoli,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
bromelain,bromelain,PROBIOTICS+,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'DIGESTIVE AIDS & ENZYMES/DIGESTIVE AIDS & ENZYMES' → NEW taxonomy: 'PROBIOTICS+/DIGESTIVE AIDS & ENZYMES'
brompheniramine,Brompheniramine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
bryonia,Bryonia,HOMEOPATHICS,NON-SPECIFIC,HOMEOPATHIC,HOMEOPATHIC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HOMEOPATHIC/HOMEOPATHIC' → NEW taxonomy: 'HOMEOPATHICS/NON-SPECIFIC'
buchu,buchu,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bugle weed,bugleweed,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bugleweed,bugleweed,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bupleurum,bupleurum,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
burdock,burdock,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
butcher's broom,Butchers Broom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
butchers broom,Butchers Broom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
butchers s broom,Butchers Broom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
butterbur,Butterbur,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
c,Vitamin Cnot Ester,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
cacao,Cocoa,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
caffeinated,Caffeine,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
caffeine,Caffeine,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
cal mag,,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
calcium,Calcium,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
calcium d glucarate,Calcium Dglucarate,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
calcium d-glucarate,Calcium Dglucarate,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
calcium/magnesium combinations,,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
calendula,Calendula,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
calendula (homeopathic),Calendula Homeo,HOMEOPATHICS,NON-SPECIFIC,HOMEOPATHIC,HOMEOPATHIC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HOMEOPATHIC/HOMEOPATHIC' → NEW taxonomy: 'HOMEOPATHICS/NON-SPECIFIC'
camu camu,Camu Camu,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
cannabidiol (cbd),CBD,FATTY ACIDS,HEMP/CBD,OIL CATEGORY,HEMP/CBD,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/HEMP/CBD' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
caprylic acid,Caprylic Acid,FATTY ACIDS,ALL OTHER OILS,OIL CATEGORY,ALL OTHER OIL,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/ALL OTHER OIL' → NEW taxonomy: 'FATTY ACIDS/ALL OTHER OILS'
caralluma,caralluma,ACTIVE NUTRITION,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'WEIGHT MANAGEMENT FORMULAS/WEIGHT MANAGEMENT FORMULAS' → NEW taxonomy: 'ACTIVE NUTRITION/WEIGHT MANAGEMENT FORMULAS'
caraway,caraway,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
carb powder,Supplemental Carb Source,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
carbohydrate fuel,Supplemental Carb Source,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
carbohydrate powder,Supplemental Carb Source,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
carbohydrate supplement,Supplemental Carb Source,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
carbohydrate xtreme,Supplemental Carb Source,ACTIVE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PERFORMANCE NUTRITION/PERFORMANCE NUTRITION' → NEW taxonomy: 'ACTIVE NUTRITION/PERFORMANCE NUTRITION'
carboximetil celulosa,Carboxymethylcellulose,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
carboxymethyl cellulose,Carboxymethylcellulose,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
carboxymethylcellulose,Carboxymethylcellulose,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
carnosine & metabolites,Carnosine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
carob,Carob,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
cartilago de tiburon,Shark Cartilage,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
cascara sagrada,Cascara Sagrada,PROBIOTICS+,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FIBER PRODUCTS & LAXATIVES/FIBER PRODUCTS & LAXATIVES' → NEW taxonomy: 'PROBIOTICS+/FIBER PRODUCTS & LAXATIVES'
castor oil,Veg Supp Oils,FATTY ACIDS,ALL OTHER OILS,OIL CATEGORY,ALL OTHER OIL,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/ALL OTHER OIL' → NEW taxonomy: 'FATTY ACIDS/ALL OTHER OILS'
cat s claw,Cats Claw,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
cat's claw,Cats Claw,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
catnip,Catnip,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cats claw (una de gato),Cats Claw,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
cayenne,Cayenne,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
celadrin,Celadrin,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
celandine,Celandine,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
celery seed,Celery Seed,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cell salt,Cell Salt,HOMEOPATHICS,NON-SPECIFIC,HOMEOPATHIC,HOMEOPATHIC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HOMEOPATHIC/HOMEOPATHIC' → NEW taxonomy: 'HOMEOPATHICS/NON-SPECIFIC'
cell salts,Cell Salt,HOMEOPATHICS,NON-SPECIFIC,HOMEOPATHIC,HOMEOPATHIC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HOMEOPATHIC/HOMEOPATHIC' → NEW taxonomy: 'HOMEOPATHICS/NON-SPECIFIC'
cetirizine,Cetirizine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
cetyl m,CMO,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
cetyl myristoleate (cmo),CMO,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
cetylpure,CMO,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
cfu,Probiotic,PROBIOTICS+,PREBIOTICS AND PROBIOTICS,PREBIOTICS & PROBIOTICS,PREBIOTICS & PROBIOTICS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PREBIOTICS & PROBIOTICS/PREBIOTICS & PROBIOTICS' → NEW taxonomy: 'PROBIOTICS+/PREBIOTICS AND PROBIOTICS'
chaga,Chaga Mushroom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
chamomile,Chamomile,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
chapparal,Chapparal,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
charcoal,Charcoal,PROBIOTICS+,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,CHARCOAL,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'DIGESTIVE AIDS & ENZYMES/CHARCOAL' → NEW taxonomy: 'PROBIOTICS+/DIGESTIVE AIDS & ENZYMES'
chaste tree,Chastetree,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
chastetree,Chastetree,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
cherry bark,Wild Cherry Bark,HERBAL REMEDIES,FORMULAS,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL FORMULAS COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL FORMULAS COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/FORMULAS'
cherry extract,Cherry,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
chia seed,Chia Seed,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
