asin,title,brand,amazon_subcategory,lookup_action,filter_reason,matched_keyword
B0F7H38DZH,paraguard cleanse detox pills - intestinal guard formula supplement with black walnut wormwood clove & oregano pills - adults natural herbal intestine body gut cleanser adults complete kit 30 capsules,dr. bo,weight loss detox & cleanse,REMAP,Contains non-supplement keyword: 'cleanser',cleanser
B0F7LPJMG9,"topicalmagnesiumcreamforsleepâsoothingmagnesiumlotionforlegs,feet,andbodyâinfusedwithnaturalherbalextractsâ4.2oz/120ml(packof1)",aosorw,magnesium supplements,REMAP,Contains non-supplement keyword: 'lotion',lotion
B0F7LVVPFQ,amazing gemstone caribbean calcite crystal towers ~ healing crystal crystal (2 to 3 inch),amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F7LXSPJZ,"amazing gemstone caribbean calcite crystals and healing stones - large palm stone piedra for good luck, balanced positive energy, meditation - unique stocking stuffers, birthday gifts",amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F8V7W4Y5,"crystals and healing stones lamp with led wooden base, mixed chakra gemstones healing crystal set for office women meditation accessories positive energy spiritual gifts reiki home decor",lamptobe,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F9FGSWK1,"ph pandahall natural amethyst perfume bottle necklace, heart shape essential oil diffuser bottle real amethyst crystal stone necklace golden chain for women jewelry, purple, 1 piece",ph pandahall,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0F9FJ3V3S,"ph pandahall natural quartz crystal perfume bottle necklace, heart shape essential oil diffuser bottle real clear quartz gemstone necklace golden chain for women jewelry, 1 piece",ph pandahall,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0F9NZ2TT7,alextinaopaliteoctoberbirthstonebraceletforwomenâwhitecrystalbeadednaturalstonebraceletâcourageconfidenceself-lovehealingjewelrybirthdaygift,alextina,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0F9X67GNM,"amazing gemstone premium clear quartz pyramid crystal healing stones - 1 great pyramid figurine of natural stone pyramid for meditation, reiki, chakra balancing and crystal pyramids grid",amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F9XSWWWY,joycuff crystal necklaces for women energy healing stone necklaces for women anxiety relief empath protection new beginnings protection spiritual jewelry,joycuff,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0F9XW4NMV,"pantide pantide something blue gift for bride heart healing crystal - bride to be blue natural heart shaped agate reiki gemstones stones with card, bridal shower wedding bachelorette party supplies gifts",pantide,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F9XWPML9,joycuff crystal necklaces for women energy healing stone necklaces for women anxiety relief empath protection new beginnings protection spiritual jewelry,joycuff,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0F9XWSJWQ,joycuff crystal necklaces for women energy healing stone necklaces for women anxiety relief empath protection new beginnings protection spiritual jewelry,joycuff,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0F9Y8VHR1,"amazing gemstone carribean calcite pyramid crystal healing stones - 2 great pyramid figurine of natural stone pyramid for meditation, reiki, chakra balancing and crystal pyramids grid",amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F9YN7RND,teenyyou 24 sets you rock crystal gemstone with cards organza bags for employee appreciation back to school teacher gift students staff coworkers thank you gifts party favors (inspirational),teenyyou,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0FCLXYRQW,"lamuseland essential oil nasal inhaler, natural and organic plant 6 flavors nasal stick energy bar for sinus & congestion relief, daily relaxation and energy boost (h)",lamuseland,sinus medicine,REMAP,Contains non-supplement keyword: 'essential oil',essential oil
B0FCRTY6JL,landical 24 pieces stainless steel crystal cage necklace adjustable metal crystal holder necklace interchangeable gemstone jewelry metal empty pendant net for women men,landical,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0FDDJF9SL,"plant guru fractionated coconut oil 32 fl. oz 100% pure mct natural carrier - skin, face, body, massage and hair growth moisturizer, great for diluting aromatherapy essential oils",plant guru,mct oil,REMAP,Contains non-supplement keyword: 'essential oil',essential oil
B0FFRCL6QR,"mortonsaltcleanenzymepoolclarifierâall-naturalweeklymaintenanceforsaltwaterpoolsâbreaksdownoils,lotion,scum&organicwasteâsupportsfilterefficiencyâ32ozliquid",morton salt,enzyme supplements,REMAP,Contains non-supplement keyword: 'lotion',lotion
B0FG7R9K9L,7 chakra necklace 925 sterling silver lotus flower rainbow stones yoga chakra energy balance pendant jewelry for women spiritual healing,flyow,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
